ticker,industry,market_cap,revenue_cagr,net_profit_margin_avg
AVG.NS,Integrated Freight & Logistics,3953248768.0,0.12936143199999273,0.020871026624915107
AVL.NS,Specialty Retail,55878135808.0,0.3596155991473893,0.04466091148240758
AVONMORE.NS,Capital Markets,6213713408.0,0.2655276933194921,0.35918733999676794
AVROIND.NS,"Furnishings, Fixtures & Appliances",2287096064.0,0.20572049338458576,0.04347183459722374
AVTNPL.NS,Specialty Chemicals,9901514752.0,0.021607307230296913,0.11520502549503805
AWHCL.NS,Waste Management,16082897920.0,0.23162508918034908,0.09557549115329161
AWL.NS,Packaged Foods,345386418176.0,0.056013343102461866,0.011753411563541144
AXISBANK.NS,Banks - Regional,3705153257472.0,0.1835485587671608,0.28102671566953646
AXISCADES.NS,Engineering & Construction,37816578048.0,0.22548668185435905,0.005673483754592577
AXITA.NS,Textile Manufacturing,3314274560.0,0.2169724004703406,0.01881921376568555
AYMSYNTEX.NS,Textile Manufacturing,12697371648.0,0.12167292089064463,0.013942591153891449
AZAD.NS,Specialty Industrial Machinery,113663795200.0,0.40558594636446954,0.11746368025751555
BAFNAPH.NS,Drug Manufacturers - Specialty & Generic,1789599104.0,0.2888267243620879,0.0723920897187849
BAGFILMS.NS,Broadcasting,1254800128.0,0.09487556427236177,-0.019615749969314415
BAIDFIN.NS,Credit Services,1199480704.0,0.08408077087305998,0.18480854421588785
BAJAJ-AUTO.NS,Auto Manufacturers,2262687809536.0,0.17143090723707388,0.17937259928239432
BAJAJCON.NS,Household & Personal Products,22890592256.0,0.030812436645808905,0.15869809452474765
BAJAJELEC.NS,"Furnishings, Fixtures & Appliances",73512960000.0,0.006181628342037282,0.03191423028489825
BAJAJFINSV.NS,Financial Conglomerates,3222517841920.0,0.22829922585949114,0.08087823320810673
BAJAJHCARE.NS,Drug Manufacturers - Specialty & Generic,17473421312.0,-0.10292610743297326,0.03033871262263127
BAJAJHIND.NS,Confectioners,27541762048.0,-0.026799379610987106,-0.032113902896318394
BAJAJHLDNG.NS,Asset Management,1338306854912.0,0.25245130446351616,0.9367403797151206
BAJFINANCE.NS,Credit Services,5637938872320.0,0.28137316262209655,0.3974093706347309
BALAJEE.NS,Packaging & Containers,3751441152.0,0.16041242748927442,0.03559701947617182
BALAJITELE.NS,Entertainment,8987103232.0,0.2895665983483786,-0.20799998535087827
BALAMINES.NS,Specialty Chemicals,43650625536.0,0.07038931942829274,0.15209150629780122
BALAXI.NS,Biotechnology,2849731584.0,0.014152241908055307,0.1155407348942474
BALKRISHNA.NS,Packaging & Containers,596060736.0,-0.6566223382371994,-3.7261516379453115
BALKRISIND.NS,Auto Parts,529147265024.0,0.1791418391640478,0.16252688481571884
BALMLAWRIE.NS,Conglomerates,37572997120.0,0.14042811524959564,0.08687294282427802
BALPHARMA.NS,Drug Manufacturers - Specialty & Generic,1623931776.0,0.09738560842017985,0.0176104691525358
BALRAMCHIN.NS,Confectioners,112863215616.0,0.06181946268128047,0.08911921271718304
BALUFORGE.NS,Metal Fabrication,69345722368.0,0.5810125288689811,0.11311439920446553
BANARBEADS.NS,Footwear & Accessories,818577664.0,0.1195442008095926,0.11083402239298036
BANARISUG.NS,Confectioners,50351910912.0,0.1376458647646337,0.05685499372632202
BANCOINDIA.NS,Auto Parts,56943042560.0,0.219585388512207,0.08892565498341563
BANDHANBNK.NS,Banks - Regional,269080313856.0,0.07814064609963411,0.1416310023002469
BANG.NS,Apparel Manufacturing,703765824.0,0.33924682626459735,0.008041683822897775
BANKA.NS,Pollution & Treatment Controls,736701056.0,0.17963377494522814,0.04987068698405318
BANKBARODA.NS,Banks - Regional,1207874486272.0,0.15528774196635564,0.24202276649901983
BANKINDIA.NS,Banks - Regional,518367019008.0,0.16237575017620998,0.2030700082587258
BANSALWIRE.NS,Steel,61182083072.0,0.1853406352205591,0.027772985512984995
BANSWRAS.NS,Textile Manufacturing,5137545216.0,0.1691705629317033,0.0406171782174606
BARBEQUE.NS,Restaurants,13359410176.0,0.3518499039581584,-0.05140649094218705
BASF.NS,Specialty Chemicals,193848098816.0,0.12949218744705537,0.04347484549814254
BASML.NS,Textile Manufacturing,2126896768.0,-0.03089051329353798,-0.007340205566981084
BATAINDIA.NS,Footwear & Accessories,155653816320.0,0.2674390980102468,0.03999020455893054
BAYERCROP.NS,Agricultural Inputs,219528691712.0,0.056980851123263676,0.14117968744821946
BBL.NS,Electrical Equipment & Parts,37125840896.0,0.3689723078523366,0.05248763491098486
BBOX.NS,Software - Application,73254461440.0,0.10538129479630665,0.014056052390650935
BBTC.NS,Packaged Foods,128318595072.0,0.08729090635673531,-0.007424790888938333
BBTCL.NS,Packaging & Containers,3487508480.0,0.1700407863885971,0.06104598249696152
BCLIND.NS,Beverages - Wineries & Distilleries,11741584384.0,0.13687964067715375,0.03820641506662853
BCONCEPTS.NS,Footwear & Accessories,4089448960.0,0.8025192026791785,-0.009133083775448638
BDL.NS,Aerospace & Defense,647385120768.0,0.09011222297587618,0.18150926708694698
BEARDSELL.NS,Building Products & Equipment,1101081088.0,0.22795793948704723,0.020621069426836697
BECTORFOOD.NS,Packaged Foods,95590703104.0,0.2321098165106552,0.07479180631037147
BEDMUTHA.NS,Steel,5202549248.0,0.2812098734028954,0.142935680296598
BEL.NS,Aerospace & Defense,2517122678784.0,0.1285238219337408,0.1705566427945941
BEML.NS,Conglomerates,141166526464.0,0.03828073826750966,0.040442731011753545
BEPL.NS,Chemicals,27628359680.0,-0.01845357347133536,0.18918612523910047
BERGEPAINT.NS,Specialty Chemicals,644678942720.0,0.18111121830402754,0.09769180034409891
BESTAGRO.NS,Agricultural Inputs,8370223616.0,0.2742360498739542,0.07356673793785191
BFINVEST.NS,Asset Management,19734056960.0,1.0486734465475975,43.63264906016705
BFUTILITIE.NS,Infrastructure Operations,28267651072.0,0.3784064252679451,0.1021001168979006
BGRENERGY.NS,Engineering & Construction,7915406336.0,-0.0431014119236095,-0.4607196580835755
BHAGCHEM.NS,Agricultural Inputs,39328604160.0,0.08673152585329369,0.07259026003412512
BHAGERIA.NS,Specialty Chemicals,7276797440.0,0.0719615001605658,0.08562123661166483
BHAGYANGR.NS,Copper,2375628800.0,0.2205120733572985,0.012237531851898187
